capacity_gib,concurrency,baseline,task_id,capacity_blocks,n_accesses,elapsed_s,global_block_hit_rate,global_p95_ttft_ms,global_throughput,migrate_ms_total,restore_ms_total,migrate_count,restore_count,fallback_count,n_tasks,task_miss_cost_ms,task_saved_prefill_ms,task_p95_ttft_ms,task_p50_ttft_ms,task_hits,task_misses,task_block_hit_rate,task_n_requests
1,4,gdsf,retail-89,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,1115981.7467769608,2869065.8844020218,29773.735508322716,8989.285469055176,26314,9764,0.729364155440989,104
1,4,gdsf,retail-3,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,3688820.4956911504,4440452.67404709,82000.3080368042,8207.867205142975,37437,24156,0.6078125761044274,166
1,4,gdsf,retail-43,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,288615.6872594729,2129544.727005996,12363.707557320595,1146.3679373264313,21300,2677,0.8883513366976686,89
1,4,gdsf,retail-23,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,7521093.188388273,8166087.182961404,144257.56869651377,9845.270812511444,58680,41174,0.5876579806517516,240
1,4,gdsf,retail-20,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,7958375.885466114,6314099.944238551,207676.9576370716,4025.1093432307243,46622,37297,0.5555595276397478,205
1,4,gdsf,airline-18,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,1022309.0299554169,1421733.2077100873,67759.95277799666,3910.6027465313673,12962,7310,0.6394041041831097,75
1,4,gdsf,airline-41,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,4009824.2985233665,2776836.293561384,47265.65015036613,1705.9890925884247,17439,4623,0.7904541745988578,78
1,4,gdsf,retail-106,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,957829.7452135012,2928686.746183783,40768.19724589586,1314.9570804089308,31378,7754,0.8018501482162935,148
1,4,gdsf,retail-84,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,691037.271246314,2731457.4305042624,20361.65702342987,2054.473627358675,30006,6875,0.8135896532089694,140
1,4,gdsf,retail-46,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,230086.36218123138,3060041.2139995024,4436.337826773524,839.123547077179,39272,2902,0.9311898325982833,176
1,4,gdsf,airline-36,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,273767.1799249947,2373169.789222069,11291.920244693756,1326.1148184537888,25189,2850,0.8983558614786548,112
1,4,gdsf,retail-105,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,5188018.691566773,7585871.727537364,99081.03257417679,7821.534126996994,57641,32765,0.6375793642014911,229
1,4,gdsf,retail-103,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,2774270.5578627065,5690175.335104577,50657.14470203966,4140.6092047691345,51119,19763,0.7211845038232555,214
1,4,gdsf,airline-39,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,36789.854262024164,427288.3200449869,1660.4337841272354,532.2355926036835,7320,624,0.9214501510574018,52
1,4,gdsf,airline-40,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,215683.5967535153,1580612.3812478036,9244.859889149666,1471.9279780983925,18235,2744,0.8692025358692025,93
1,4,gdsf,retail-87,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,1158691.9917855412,4146513.522886671,29708.701640367508,1591.847650706768,40362,8127,0.8323949761801646,170
